2022-03-12 23:37:46,107 DEBUG:asyncio: Using selector: EpollSelector
2022-03-12 23:37:48,110 INFO:easy: J:cat,T:0 :: sending request to https://thiscatdoesnotexist.com/
2022-03-12 23:37:48,112 INFO:easy: J:cat,T:1 :: sending request to https://thiscatdoesnotexist.com/
2022-03-12 23:37:48,112 INFO:easy: J:cat,T:2 :: sending request to https://thiscatdoesnotexist.com/
2022-03-12 23:37:48,113 INFO:easy: J:human,T:0 :: sending request to https://thispersondoesnotexist.com/
2022-03-12 23:37:48,113 INFO:easy: J:human,T:1 :: sending request to https://thispersondoesnotexist.com/
2022-03-12 23:37:48,113 INFO:easy: J:horse,T:0 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:37:48,114 INFO:easy: J:horse,T:1 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:37:48,114 INFO:easy: J:horse,T:2 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:37:48,114 INFO:easy: J:horse,T:3 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:37:48,114 INFO:easy: J:horse,T:4 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:37:48,115 INFO:easy: J:horse,T:5 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:37:48,115 INFO:easy: J:horse,T:6 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:37:53,700 INFO:easy: J:cat,T:0 :: got response 200 from https://thiscatdoesnotexist.com/
2022-03-12 23:37:53,700 INFO:easy: J:cat,T:0 :: started downloading object
2022-03-12 23:37:53,772 INFO:easy: J:human,T:0 :: got response 200 from https://thispersondoesnotexist.com/
2022-03-12 23:37:53,772 INFO:easy: J:human,T:0 :: started downloading object
2022-03-12 23:37:53,772 INFO:easy: J:human,T:0 :: found unique object, start wrinting to artifacts/humans/human-0.png
2022-03-12 23:42:44,599 DEBUG:asyncio: Using selector: EpollSelector
2022-03-12 23:42:46,603 INFO:easy: J:cat,T:0 :: sending request to https://thiscatdoesnotexist.com/
2022-03-12 23:42:46,605 INFO:easy: J:cat,T:1 :: sending request to https://thiscatdoesnotexist.com/
2022-03-12 23:42:46,605 INFO:easy: J:cat,T:2 :: sending request to https://thiscatdoesnotexist.com/
2022-03-12 23:42:46,606 INFO:easy: J:human,T:0 :: sending request to https://thispersondoesnotexist.com/
2022-03-12 23:42:46,606 INFO:easy: J:human,T:1 :: sending request to https://thispersondoesnotexist.com/
2022-03-12 23:42:46,606 INFO:easy: J:horse,T:0 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:46,607 INFO:easy: J:horse,T:1 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:46,607 INFO:easy: J:horse,T:2 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:46,608 INFO:easy: J:horse,T:3 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:46,608 INFO:easy: J:horse,T:4 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:46,608 INFO:easy: J:horse,T:5 :: sending request to https://thishorsedoesnotexist.com/
2022-03-12 23:42:46,609 INFO:easy: J:horse,T:6 :: sending request to https://thishorsedoesnotexist.com/
